# Step_Size Forward_Error Central_Error
1.88272e-06 1.12949e-06 3.9527e-12
1.79307e-06 1.07571e-06 3.76842e-12
1.70768e-06 1.02448e-06 1.90606e-12
1.62637e-06 9.75697e-07 2.38859e-12
1.54892e-06 9.29236e-07 2.84191e-12
1.47516e-06 8.84984e-07 9.93983e-13
1.40492e-06 8.42844e-07 2.78731e-12
1.33802e-06 8.02708e-07 1.58344e-12
1.2743e-06 7.64483e-07 7.73145e-13
1.21362e-06 7.2808e-07 2.61091e-12
1.15583e-06 6.93408e-07 4.31113e-13
1.10079e-06 6.60391e-07 2.04452e-12
1.04837e-06 6.28943e-07 7.44405e-13
9.98448e-07 5.98992e-07 2.0664e-13
9.50903e-07 5.7047e-07 2.24812e-12
9.05622e-07 5.43303e-07 5.3392e-13
8.62497e-07 5.17433e-07 1.52527e-12
8.21426e-07 4.92794e-07 1.42469e-12
7.8231e-07 4.69325e-07 1.47908e-12
7.45057e-07 4.46978e-07 1.68077e-12
7.09578e-07 4.25693e-07 2.83787e-13
6.75789e-07 4.05423e-07 2.11732e-12
6.43608e-07 3.86117e-07 2.1815e-12
6.1296e-07 3.67729e-07 8.33861e-13
5.83772e-07 3.50217e-07 1.71321e-12
5.55973e-07 3.33546e-07 4.67569e-12
5.29498e-07 3.17662e-07 3.0376e-12
5.04284e-07 3.02532e-07 2.13667e-12
4.80271e-07 2.88124e-07 1.1047e-12
4.574e-07 2.74407e-07 3.63308e-12
4.3562e-07 2.61339e-07 1.64198e-12
4.14876e-07 2.48893e-07 2.48218e-13
3.9512e-07 2.37043e-07 4.325e-12
3.76305e-07 2.25751e-07 2.80936e-12
3.58385e-07 2.15004e-07 7.63306e-13
3.41319e-07 2.0476e-07 2.50396e-12
3.25066e-07 1.95012e-07 3.64749e-12
3.09587e-07 1.85733e-07 4.62415e-12
2.94844e-07 1.76877e-07 4.90155e-12
2.80804e-07 1.68456e-07 3.72484e-12
2.67433e-07 1.60442e-07 6.31392e-12
2.54698e-07 1.52792e-07 3.74026e-12
2.42569e-07 1.45532e-07 1.07329e-11
2.31018e-07 1.38596e-07 5.54812e-12
2.20017e-07 1.32e-07 5.92357e-12
2.0954e-07 1.25713e-07 9.47159e-12
1.99562e-07 1.19732e-07 7.81585e-12
1.90059e-07 1.14016e-07 1.74605e-12
1.81009e-07 1.0858e-07 1.1786e-11
1.72389e-07 1.03428e-07 7.62083e-12
1.6418e-07 9.84995e-08 3.59572e-12
1.56362e-07 9.37987e-08 3.27215e-12
1.48916e-07 8.93443e-08 8.37683e-12
1.41825e-07 8.50721e-08 3.56336e-12
1.35072e-07 8.10424e-08 9.58542e-12
1.2864e-07 7.71741e-08 1.33112e-12
1.22514e-07 7.34812e-08 1.31306e-11
1.1668e-07 6.99987e-08 3.1527e-12
1.11124e-07 6.66647e-08 9.35821e-13
1.05832e-07 6.34715e-08 1.18633e-11
1.00793e-07 6.04604e-08 9.81441e-12
9.59929e-08 5.75905e-08 6.10562e-12
